eventname	subjectkey	site_id_l
eventname description	The subject identifier	site_id_l description
baseline_year_1_arm_1	NDAR_INV000001	site02
baseline_year_1_arm_1	NDAR_INV000002	site01
baseline_year_1_arm_1	NDAR_INV000003	site02
baseline_year_1_arm_1	NDAR_INV000004	site01
baseline_year_1_arm_1	NDAR_INV000005	site02
baseline_year_1_arm_1	NDAR_INV000006	site02
baseline_year_1_arm_1	NDAR_INV000007	site03
baseline_year_1_arm_1	NDAR_INV000008	site02
baseline_year_1_arm_1	NDAR_INV000009	site01
baseline_year_1_arm_1	NDAR_INV000010	site03
baseline_year_1_arm_1	NDAR_INV000011	site01
baseline_year_1_arm_1	NDAR_INV000012	site02
baseline_year_1_arm_1	NDAR_INV000013	site01
baseline_year_1_arm_1	NDAR_INV000014	site03
baseline_year_1_arm_1	NDAR_INV000015	site03
baseline_year_1_arm_1	NDAR_INV000016	site02
baseline_year_1_arm_1	NDAR_INV000017	site03
baseline_year_1_arm_1	NDAR_INV000018	site02
baseline_year_1_arm_1	NDAR_INV000019	site03
baseline_year_1_arm_1	NDAR_INV000020	site01
baseline_year_1_arm_1	NDAR_INV000021	site01
baseline_year_1_arm_1	NDAR_INV000022	site03
baseline_year_1_arm_1	NDAR_INV000023	site01
baseline_year_1_arm_1	NDAR_INV000024	site03
baseline_year_1_arm_1	NDAR_INV000025	site01
baseline_year_1_arm_1	NDAR_INV000026	site02
baseline_year_1_arm_1	NDAR_INV000027	site03
baseline_year_1_arm_1	NDAR_INV000028	site01
baseline_year_1_arm_1	NDAR_INV000029	site01
baseline_year_1_arm_1	NDAR_INV000030	site01
baseline_year_1_arm_1	NDAR_INV000031	site01
baseline_year_1_arm_1	NDAR_INV000032	site01
baseline_year_1_arm_1	NDAR_INV000033	site02
baseline_year_1_arm_1	NDAR_INV000034	site03
baseline_year_1_arm_1	NDAR_INV000035	site03
baseline_year_1_arm_1	NDAR_INV000036	site01
baseline_year_1_arm_1	NDAR_INV000037	site01
baseline_year_1_arm_1	NDAR_INV000038	site03
baseline_year_1_arm_1	NDAR_INV000039	site01
baseline_year_1_arm_1	NDAR_INV000040	site03
baseline_year_1_arm_1	NDAR_INV000041	site02
baseline_year_1_arm_1	NDAR_INV000042	site03
baseline_year_1_arm_1	NDAR_INV000043	site02
baseline_year_1_arm_1	NDAR_INV000044	site02
baseline_year_1_arm_1	NDAR_INV000045	site03
baseline_year_1_arm_1	NDAR_INV000046	site01
baseline_year_1_arm_1	NDAR_INV000047	site03
baseline_year_1_arm_1	NDAR_INV000048	site02
baseline_year_1_arm_1	NDAR_INV000049	site03
baseline_year_1_arm_1	NDAR_INV000050	site02
baseline_year_1_arm_1	NDAR_INV000051	site01
baseline_year_1_arm_1	NDAR_INV000052	site02
baseline_year_1_arm_1	NDAR_INV000053	site03
baseline_year_1_arm_1	NDAR_INV000054	site01
baseline_year_1_arm_1	NDAR_INV000055	site03
baseline_year_1_arm_1	NDAR_INV000056	site03
baseline_year_1_arm_1	NDAR_INV000057	site02
baseline_year_1_arm_1	NDAR_INV000058	site03
baseline_year_1_arm_1	NDAR_INV000059	site02
baseline_year_1_arm_1	NDAR_INV000060	site02
baseline_year_1_arm_1	NDAR_INV000061	site02
baseline_year_1_arm_1	NDAR_INV000062	site01
baseline_year_1_arm_1	NDAR_INV000063	site01
baseline_year_1_arm_1	NDAR_INV000064	site01
baseline_year_1_arm_1	NDAR_INV000065	site03
baseline_year_1_arm_1	NDAR_INV000066	site02
baseline_year_1_arm_1	NDAR_INV000067	site01
baseline_year_1_arm_1	NDAR_INV000068	site02
baseline_year_1_arm_1	NDAR_INV000069	site03
baseline_year_1_arm_1	NDAR_INV000070	site01
baseline_year_1_arm_1	NDAR_INV000071	site03
baseline_year_1_arm_1	NDAR_INV000072	site01
baseline_year_1_arm_1	NDAR_INV000073	site03
baseline_year_1_arm_1	NDAR_INV000074	site01
baseline_year_1_arm_1	NDAR_INV000075	site01
baseline_year_1_arm_1	NDAR_INV000076	site02
baseline_year_1_arm_1	NDAR_INV000077	site03
baseline_year_1_arm_1	NDAR_INV000078	site01
baseline_year_1_arm_1	NDAR_INV000079	site03
baseline_year_1_arm_1	NDAR_INV000080	site03
baseline_year_1_arm_1	NDAR_INV000081	site01
