eventname	subjectkey	rt_neut_fb	rt_rew_pos_fb	rt_loss_neg_fb
eventname description	The subject identifier	rt_neut_fb description	rt_rew_pos_fb description	rt_loss_neg_fb description
baseline_year_1_arm_1	NDAR_INV000001	234.54179137951712	205.72971204694608	355.1778221475716
baseline_year_1_arm_1	NDAR_INV000002	224.8440986484859	356.2788820366714	475.6427274710546
baseline_year_1_arm_1	NDAR_INV000003	480.21307363421926	414.0340042203773	440.1826192960427
baseline_year_1_arm_1	NDAR_INV000004	316.3070399675937	278.4706525825429	356.1423058913907
baseline_year_1_arm_1	NDAR_INV000005	369.11444329072367	491.13104483660214	476.8415946689547
baseline_year_1_arm_1	NDAR_INV000006	338.6132040714358	271.87520219448203	289.50652719059053
baseline_year_1_arm_1	NDAR_INV000007	223.1164276824568	236.6072303311286	215.25914777075351
baseline_year_1_arm_1	NDAR_INV000008	320.6194883411368	301.77726840729673	360.23481557003674
baseline_year_1_arm_1	NDAR_INV000009	276.1346319472109	248.30264459463507	498.83859771331447
baseline_year_1_arm_1	NDAR_INV000010	410.61157867634745	341.9153632565067	306.85452479929734
baseline_year_1_arm_1	NDAR_INV000011	476.94353272976974	415.70083506628293	371.586664852442
baseline_year_1_arm_1	NDAR_INV000012	479.4361024266639	426.5202244501992	385.6357180706392
baseline_year_1_arm_1	NDAR_INV000013	225.1186318222606	494.775200546725	478.63239007284034
baseline_year_1_arm_1	NDAR_INV000014	322.03290371168754	343.97981983308506	432.8498752141758
baseline_year_1_arm_1	NDAR_INV000015	494.0110615335949	371.06955924691204	431.39612146209083
baseline_year_1_arm_1	NDAR_INV000016	288.64390371722436	300.875394016727	340.12213231292884
baseline_year_1_arm_1	NDAR_INV000017	437.75981559301607	259.4239969502703	264.1770083265871
baseline_year_1_arm_1	NDAR_INV000018	217.24735573436385	234.67141250649468	328.1535650908176
baseline_year_1_arm_1	NDAR_INV000019	217.0971407808525	470.5801930115499	389.97728962976885
baseline_year_1_arm_1	NDAR_INV000020	449.04800987085105	216.5309807234439	314.0508078652902
baseline_year_1_arm_1	NDAR_INV000021	426.8662305955891	364.8147454547777	278.7893611789449
baseline_year_1_arm_1	NDAR_INV000022	240.35109419453528	476.00755286138747	435.432302785569
baseline_year_1_arm_1	NDAR_INV000023	325.898706526092	308.94003946163787	448.2105221195883
baseline_year_1_arm_1	NDAR_INV000024	429.87489946613067	299.8407834050443	354.0177979381901
